Geography,Date,Value
Manitoba,11/1/2002,"511,332"
Saskatchewan,11/1/2002,"376,971"
Alberta,11/1/2002,"1,465,609"
British Columbia,11/1/2002,"1,630,871"
Yukon,11/1/2002,"15,403"
Northwest Territories,11/1/2002,"23,528"
Nunavut,11/1/2002,"12,309"
Canada,12/1/2002,"13,290,659"
Newfoundland and Labrador,12/1/2002,"180,170"
Prince Edward Island,12/1/2002,"57,650"
Nova Scotia,12/1/2002,"376,720"
New Brunswick,12/1/2002,"300,919"
Quebec,12/1/2002,"3,149,835"
Ontario,12/1/2002,"5,189,223"
Manitoba,12/1/2002,"513,013"
Saskatchewan,12/1/2002,"374,079"
Alberta,12/1/2002,"1,469,140"
British Columbia,12/1/2002,"1,629,179"
Yukon,12/1/2002,"15,076"
Northwest Territories,12/1/2002,"23,166"
Nunavut,12/1/2002,"12,489"
Canada,1/1/2003,"13,359,011"
Newfoundland and Labrador,1/1/2003,"180,593"
Prince Edward Island,1/1/2003,"57,458"
Nova Scotia,1/1/2003,"379,494"
New Brunswick,1/1/2003,"304,788"
Quebec,1/1/2003,"3,153,045"
Ontario,1/1/2003,"5,228,962"
Manitoba,1/1/2003,"512,235"
Saskatchewan,1/1/2003,"375,296"
Alberta,1/1/2003,"1,472,656"
British Columbia,1/1/2003,"1,643,312"
Yukon,1/1/2003,"15,452"
Northwest Territories,1/1/2003,"23,442"
Nunavut,1/1/2003,"12,277"
Canada,2/1/2003,"13,354,596"
Newfoundland and Labrador,2/1/2003,"179,985"
Prince Edward Island,2/1/2003,"57,165"
Nova Scotia,2/1/2003,"376,951"
New Brunswick,2/1/2003,"305,379"
Quebec,2/1/2003,"3,170,700"
Ontario,2/1/2003,"5,211,067"
Manitoba,2/1/2003,"510,693"
Saskatchewan,2/1/2003,"377,882"
Alberta,2/1/2003,"1,469,646"
British Columbia,2/1/2003,"1,644,125"
Yukon,2/1/2003,"15,320"
Northwest Territories,2/1/2003,"23,328"
Nunavut,2/1/2003,"12,356"
Canada,3/1/2003,"13,424,818"
Newfoundland and Labrador,3/1/2003,"180,876"
Prince Edward Island,3/1/2003,"57,184"
Nova Scotia,3/1/2003,"379,409"
New Brunswick,3/1/2003,"304,485"
Quebec,3/1/2003,"3,185,908"
Ontario,3/1/2003,"5,234,287"
Manitoba,3/1/2003,"511,823"
Saskatchewan,3/1/2003,"380,132"
Alberta,3/1/2003,"1,478,225"
British Columbia,3/1/2003,"1,661,442"
Yukon,3/1/2003,"15,198"
Northwest Territories,3/1/2003,"23,290"
Nunavut,3/1/2003,"12,558"
Canada,4/1/2003,"13,403,201"
Newfoundland and Labrador,4/1/2003,"179,729"
Prince Edward Island,4/1/2003,"58,125"
Nova Scotia,4/1/2003,"378,886"
New Brunswick,4/1/2003,"304,114"
Quebec,4/1/2003,"3,174,759"
Ontario,4/1/2003,"5,230,540"
Manitoba,4/1/2003,"515,448"
Saskatchewan,4/1/2003,"382,014"
Alberta,4/1/2003,"1,476,945"
British Columbia,4/1/2003,"1,650,672"
Yukon,4/1/2003,"15,647"
Northwest Territories,4/1/2003,"23,630"
Nunavut,4/1/2003,"12,691"
Canada,5/1/2003,"13,414,116"
Newfoundland and Labrador,5/1/2003,"181,500"
Prince Edward Island,5/1/2003,"58,482"
Nova Scotia,5/1/2003,"378,263"
New Brunswick,5/1/2003,"304,373"
Quebec,5/1/2003,"3,168,931"
Ontario,5/1/2003,"5,248,077"
Manitoba,5/1/2003,"514,271"
Saskatchewan,5/1/2003,"382,240"
Alberta,5/1/2003,"1,477,192"
British Columbia,5/1/2003,"1,648,272"
Yukon,5/1/2003,"15,714"
Northwest Territories,5/1/2003,"24,205"
Nunavut,5/1/2003,"12,596"
Canada,6/1/2003,"13,445,833"
Newfoundland and Labrador,6/1/2003,"181,251"
Prince Edward Island,6/1/2003,"59,207"
Nova Scotia,6/1/2003,"382,290"
New Brunswick,6/1/2003,"305,213"
Quebec,6/1/2003,"3,191,573"
Ontario,6/1/2003,"5,240,782"
Manitoba,6/1/2003,"514,570"
Saskatchewan,6/1/2003,"382,944"
Alberta,6/1/2003,"1,480,060"
British Columbia,6/1/2003,"1,655,478"
Yukon,6/1/2003,"15,423"
Northwest Territories,6/1/2003,"24,414"
Nunavut,6/1/2003,"12,629"
Canada,7/1/2003,"13,427,048"
Newfoundland and Labrador,7/1/2003,"180,388"
Prince Edward Island,7/1/2003,"59,191"
Nova Scotia,7/1/2003,"385,555"
New Brunswick,7/1/2003,"307,930"
Quebec,7/1/2003,"3,166,835"
Ontario,7/1/2003,"5,239,647"
Manitoba,7/1/2003,"516,326"
Saskatchewan,7/1/2003,"383,795"
Alberta,7/1/2003,"1,479,471"
British Columbia,7/1/2003,"1,655,933"
Yukon,7/1/2003,"15,697"
Northwest Territories,7/1/2003,"23,644"
Nunavut,7/1/2003,"12,636"
Canada,8/1/2003,"13,435,369"
Newfoundland and Labrador,8/1/2003,"182,001"
Prince Edward Island,8/1/2003,"59,200"
Nova Scotia,8/1/2003,"383,269"
New Brunswick,8/1/2003,"305,803"
Quebec,8/1/2003,"3,170,204"
Ontario,8/1/2003,"5,245,611"
Manitoba,8/1/2003,"516,628"
Saskatchewan,8/1/2003,"384,863"
Alberta,8/1/2003,"1,480,053"
British Columbia,8/1/2003,"1,655,681"
Yukon,8/1/2003,"15,599"
Northwest Territories,8/1/2003,"23,965"
Nunavut,8/1/2003,"12,492"
Canada,9/1/2003,"13,419,617"
Newfoundland and Labrador,9/1/2003,"181,652"
Prince Edward Island,9/1/2003,"58,865"
Nova Scotia,9/1/2003,"383,516"
New Brunswick,9/1/2003,"306,631"
